"F","RT","IQ","id"
"F1",247.453783091531,80.5662298602758,1
"F1",226.091482358452,93.5162665371038,2
"F1",173.140001727212,72.0405493101286,3
"F1",229.168593188872,72.4187286603285,4
"F1",226.25133020949,73.4321149509225,5
"F1",164.690010431219,75.743498906202,6
"F1",210.424999456618,78.2258738773052,7
"F1",268.068524932454,89.3769618865017,8
"F1",243.214783475318,93.734331575569,9
"F1",233.183352422557,95.061464684663,10
"F1",166.217640614216,100.626664649149,11
"F1",204.868933960694,91.9212096428323,12
"F1",190.305773371694,110.922402196051,13
"F1",243.537831801784,49.2203192056535,14
"F1",256.897291616064,66.5222678909986,15
"F1",139.676003489564,108.297619943134,16
"F1",197.253000947311,95.4180767281239,17
"F1",289.598121209458,96.6846498650404,18
"F1",204.121183519202,74.1519713231057,19
"F1",237.865267765202,89.7237868160294,20
"F1",264.494937593668,83.7025341206988,21
"F1",228.910733481889,88.726144973483,22
"F1",259.269143938313,89.0230869347366,23
"F1",265.413852369734,63.6439849312066,24
"F1",241.865899865198,92.2902396787037,25
"F1",303.42828483179,61.033619699031,26
"F1",170.303809357408,115.993012065196,27
"F1",222.424581171159,77.6893060345569,28
"F1",265.558570144078,86.0324843070137,29
"F1",176.302277657852,84.2605987462564,30
"F2",246.694742222625,101.219889743914,31
"F2",229.956389699558,118.117459694258,32
"F2",215.787136114597,117.911099890657,33
"F2",179.869331245423,135.041486155663,34
"F2",267.528450015378,120.582491905361,35
"F2",176.821881916001,114.623334933326,36
"F2",298.996636716759,91.003216357565,37
"F2",271.466373914984,102.071497825858,38
"F2",190.865399089083,102.367253413607,39
"F2",152.440108330935,91.2035308014896,40
"F2",174.538362975461,127.612595436132,41
"F2",222.958190776342,147.970472192286,42
"F2",190.112629312782,101.175974224442,43
"F2",191.206315292256,128.160073517019,44
"F2",164.561385595169,132.475546338701,45
"F2",198.920970908842,99.3240696074549,46
"F2",170.595615228886,125.032485301242,47
"F2",134.764407038729,146.118406575228,48
"F2",186.8965071125,114.801439651826,49
"F2",245.089018820513,109.716860941114,50
"F2",178.878210261138,118.982762397402,51
"F2",229.714570634388,104.094655098238,52
"F2",134.225359391287,132.742446491979,53
"F2",199.686860846415,105.230805068832,54
"F2",227.772052391086,114.032767204291,55
"F2",216.3888206022,107.268610005373,56
"F2",205.321418215589,97.0774616439896,57
"F2",174.617845238279,112.921905583416,58
"F2",167.877452328688,126.159183709861,59
"F2",155.447557764105,104.960218289475,60
