"A","B","DV","id"
"A1","B1",17.5465593239116,1
"A1","B1",-6.68330033560865,2
"A1","B1",10.5744145951576,3
"A1","B1",10.5575719764246,4
"A1","B1",18.0047544401149,5
"A1","B2",20.1226151188017,6
"A1","B2",14.7731877439507,7
"A1","B2",22.6126298770237,8
"A1","B2",34.7130701161162,9
"A1","B2",7.77849714410764,10
"A2","B1",18.9360683488361,11
"A2","B1",9.51797196000482,12
"A2","B1",21.2270300609662,13
"A2","B1",-0.15347447062808,14
"A2","B1",0.472404100820963,15
"A2","B2",26.4655591039654,16
"A2","B2",36.2429303279616,17
"A2","B2",53.66740681361,18
"A2","B2",39.6512344287962,19
"A2","B2",43.9728693256668,20
